id,route_name,route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
1,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 97","Swift Deluxe Non AC Air Bus (2+2)","2024-08-19 16:02:00","08h 48m","2024-08-20 00:50:00",3,567.00,3
2,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 171","Swift Deluxe Non AC Air Bus (2+2)","2024-08-19 16:16:00","09h 04m","2024-08-20 01:20:00",3.3,640.00,18
3,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 553","Super Express Non AC Seater Air Bus (2+2)","2024-08-19 16:45:00","08h 40m","2024-08-20 01:25:00",3.1,640.00,3
4,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 51","Swift Deluxe Non AC Air Bus (2+2)","2024-08-19 19:04:00","09h 20m","2024-08-20 04:24:00",4.4,640.00,23
5,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 789","Super Fast Non AC Seater (2+3)","2024-08-19 20:00:00","08h 25m","2024-08-20 04:25:00",3.6,473.00,20
6,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 1585","Super Express Non AC Seater Air Bus (2+2)","2024-08-19 20:31:00","09h 05m","2024-08-20 05:36:00",4.1,640.00,30
7,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 1586","Super Express Non AC Seater Air Bus (2+2)","2024-08-19 21:31:00","09h 05m","2024-08-20 06:36:00",3.4,640.00,32
8,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 2133","Swift Deluxe Non AC Air Bus (2+2)","2024-08-19 22:12:00","09h 24m","2024-08-20 07:36:00",3.8,640.00,33
9,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 2063","SWIFT-GARUDA A/C SEATER BUS","2024-08-19 22:32:00","09h 03m","2024-08-20 07:35:00",3.6,627.00,12
10,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 574","Super Express Non AC Seater Air Bus (2+2)","2024-08-19 23:00:00","10h 30m","2024-08-20 09:30:00",4.1,469.00,36
11,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 583","Super Express Non AC Seater Air Bus (2+2)","2024-08-19 23:30:00","10h 05m","2024-08-20 09:35:00",3.4,469.00,33
12,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 56","SWIFT-GARUDA A/C SEATER BUS","2024-08-19 23:41:00","09h 24m","2024-08-20 09:05:00",3.5,627.00,26
13,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"KSRTC (Kerala) - 1064","Super Fast Non AC Seater (2+3)","2024-08-19 23:45:00","10h 05m","2024-08-20 09:50:00",3.4,432.00,48
14,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"MMK Travels","VE A/C Seater / Sleeper (2+1)","2024-08-19 22:30:00","09h 00m","2024-08-20 07:30:00",4.4,700.00,20
15,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"SAAM BUS","VE A/C Sleeper (2+1)","2024-08-19 20:10:00","10h 35m","2024-08-20 06:45:00",4.5,850.00,12
16,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"Kyros Connect","Bharat Benz A/C Semi Sleeper (2+2)","2024-08-19 23:00:00","10h 00m","2024-08-20 09:00:00",4.2,599.00,30
17,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"AdSuraj Holidays","VE A/C Sleeper (2+1)","2024-08-19 22:30:00","09h 00m","2024-08-20 07:30:00",3.8,900.00,18
18,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"Silver Line Travels","NON A/C Semi Sleeper (2+2)","2024-08-19 22:00:00","08h 10m","2024-08-20 06:10:00",4.5,599.00,23
19,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"NS Transports","VE A/C Sleeper (2+1)","2024-08-19 22:45:00","08h 45m","2024-08-20 07:30:00",4.2,1000.00,21
20,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"P K Travels","A/C Sleeper (2+1)","2024-08-19 19:15:00","11h 15m","2024-08-20 06:30:00",4.4,950.00,17
21,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"DLT BUS","A/C Sleeper (2+1)","2024-08-19 22:30:00","09h 00m","2024-08-20 07:30:00",3.9,899.00,15
22,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"NS Transports","Non A/C Seater / Sleeper (2+1)","2024-08-19 21:45:00","08h 25m","2024-08-20 06:10:00",4.3,700.00,23
23,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"SKS Tourist Corporation (REGD)","A/C Sleeper (2+1)","2024-08-19 21:00:00","08h 30m","2024-08-20 05:30:00",4,899.00,14
24,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"NS Transports","Non A/C Seater / Sleeper (2+1)","2024-08-19 22:15:00","08h 15m","2024-08-20 06:30:00",3.9,750.00,13
25,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"National travels and logistics","NON A/C Sleeper (2+1)","2024-08-19 22:45:00","07h 45m","2024-08-20 06:30:00",3.8,649.00,16
26,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"SKS Tours & Travels","A/C Sleeper (2+1)","2024-08-19 21:15:00","08h 30m","2024-08-20 05:45:00",4.3,849.00,18
27,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"Kallada Travels (Suresh Kallada)","A/C Sleeper (2+1)","2024-08-19 22:00:00","09h 05m","2024-08-20 07:05:00",3.3,800.00,7
28,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"Sam Tourist","NON AC Seater / Sleeper 2+1","2024-08-19 22:05:00","09h 00m","2024-08-20 07:05:00",3.4,599.00,27
29,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"Kalpaka Travels","NON A/C Semi Sleeper (2+2)","2024-08-19 22:00:00","08h 30m","2024-08-20 06:30:00",3.1,700.00,18
30,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"A1 Travels","Non A/C Seater / Sleeper (2+1)","2024-08-19 21:00:00","09h 45m","2024-08-20 06:45:00",2.7,600.00,32
31,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"DA Transports","A/C Sleeper (2+1)","2024-08-19 21:45:00","09h 15m","2024-08-20 07:00:00",3.4,648.00,26
32,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"A1 Travels","A/C Seater / Sleeper (2+1)","2024-08-19 21:45:00","09h 15m","2024-08-20 07:00:00",3.1,600.00,26
33,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"A1 Travels","A/C Seater / Sleeper (2+1)","2024-08-19 22:30:00","08h 00m","2024-08-20 06:30:00",1,650.00,29
34,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"National travels and logistics","A/C Sleeper (2+1)","2024-08-19 22:45:00","08h 15m","2024-08-20 07:00:00",2.2,845.00,21
35,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"Suraj Holidays","NON AC Seater / Sleeper 2+1","2024-08-19 20:30:00","09h 30m","2024-08-20 06:00:00",3.3,700.00,19
36,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"P K Travels","NON A/C Seater / Sleeper (3+1)","2024-08-19 21:30:00","08h 30m","2024-08-20 06:00:00",3.8,740.00,32
37,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"P K Travels","Non A/C Seater / Sleeper (2+1)","2024-08-19 19:15:00","10h 00m","2024-08-20 05:15:00",3.5,700.00,23
38,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"LEGEND HOLIDAYS","Bharat Benz A/C Semi Sleeper (2+2)","2024-08-19 21:20:00","08h 40m","2024-08-20 06:00:00",0,599.00,29
39,"Bangalore to Kozhikode",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,"Vijay Lines","A/C Seater / Sleeper (2+1)","2024-08-19 20:45:00","10h 45m","2024-08-20 07:30:00",2.9,599.00,29
